participant,Age_1,Sex_1,Prior_Knowledge_1,Media_Consumption_1,Trust_in_Media_1,NS1_1,NS2_1,NS3_1,NS4_1,NS5_1,NS6_1,NS7_1,NS8_1,NS9_1,NS10_1,S11_1,S12_1,S13_1,S14_1,S15_1,S16_1,S17_1,S18_1,S19_1,S20_1,TIME_start,TIME_end,TIME_total
s.322854f6-48b0-4850-ad85-5a71ef17502d.txt,2,1,2,1,2,7,2,1,7,2,7,1,7,6,7,,,,,,,,,,,2023-11-12-21-22,2023-11-12-21-23,1
s.d085a3c0-7829-425d-8f06-4106f833379b.txt,2,1,1,1,1,,,,,,,,,,,2,2,4,2,2,1,2,2,6,3,2023-11-08-00-23,2023-11-08-00-38,15
s.1450fc77-17f8-44e1-831c-42e082633ee7.txt,2,2,2,3,2,7,6,5,7,6,7,4,7,6,7,,,,,,,,,,,2023-11-12-21-25,2023-11-12-21-26,1
s.40e2d362-a4d8-47fb-ace3-231a1798a3dd.txt,2,1,3,3,1,7,7,6,4,6,2,7,6,6,7,,,,,,,,,,,2023-11-08-15-04,2023-11-08-15-06,2
s.8f0a81a6-a029-440a-87a7-5f187d635822.txt,2,1,3,3,2,,,,,,,,,,,3,4,5,7,6,5,4,5,7,2,2023-11-09-18-45,2023-11-09-19-04,19
s.d1c638a1-30e7-4ea1-af34-3f9d0bc8f556.txt,2,1,3,3,2,,,,,,,,,,,5,4,6,4,3,5,3,4,7,6,2023-11-09-14-58,2023-11-09-15-14,16
s.2b9caf95-46d8-4071-a8ab-d15c4fbcdda2.txt,1,1,3,3,1,,,,,,,,,,,4,3,2,3,4,7,7,3,7,7,2023-11-08-11-52,2023-11-08-11-56,4
s.3be3f7fc-8a79-441a-b8db-bc7c5896b086.txt,2,2,1,3,1,6,6,6,2,6,6,6,6,6,6,,,,,,,,,,,2023-11-08-14-44,2023-11-08-15-07,23
s.2b45daac-26e4-4cef-9178-8b2250833925.txt,1,1,3,3,3,7,1,1,1,1,6,1,7,1,1,,,,,,,,,,,2023-11-08-13-58,2023-11-08-14-09,11
s.2b419c1a-8d52-47ad-ba94-362d1be3dd42.txt,1,2,2,2,3,3,5,5,3,5,3,4,6,6,3,,,,,,,,,,,2023-11-08-13-06,2023-11-08-13-18,12
s.92696454-8b7e-484d-80a5-08480e13d172.txt,2,2,3,2,2,3,2,4,3,2,3,2,3,3,3,,,,,,,,,,,2023-11-12-21-42,2023-11-12-21-43,1
s.857ed89d-2a5f-4535-b286-8eb69cf78085.txt,2,1,1,2,2,7,7,7,7,7,6,7,7,5,6,,,,,,,,,,,2023-11-08-14-35,2023-11-08-15-02,27
s.1f3ca58c-1a2d-459e-abfa-b2ec1f6cddd3.txt,1,1,3,2,2,,,,,,,,,,,4,7,6,5,3,3,4,2,6,7,2023-11-09-14-21,2023-11-09-14-33,12
s.a150fac0-f18a-4c92-9b4e-a16d79081460.txt,1,2,3,3,1,,,,,,,,,,,3,7,3,4,3,5,3,5,4,6,2023-11-08-10-41,2023-11-08-11-03,22
s.24c03cdf-a357-4291-af24-02d5926a44c6.txt,2,2,2,3,1,,,,,,,,,,,5,2,5,4,6,3,5,6,6,6,2023-11-08-12-39,2023-11-08-12-46,7
s.687a2a7c-6f73-4717-8a07-0d00ba543419.txt,3,2,2,2,1,,,,,,,,,,,5,5,4,3,4,3,3,2,2,3,2023-11-11-01-59,2023-11-11-02-07,8
s.25235af7-f7f3-4651-a7db-495a427adbce.txt,2,1,2,2,1,,,,,,,,,,,6,2,3,3,3,5,3,5,2,5,2023-11-08-17-06,2023-11-08-17-14,8
s.9bb41093-393c-4d77-8e6e-aefe7b27638e.txt,2,1,3,3,2,,,,,,,,,,,6,3,3,5,5,4,3,2,3,4,2023-11-08-14-09,2023-11-08-14-13,4
s.7811103d-69e4-4915-84f1-c994dd785f58.txt,1,2,3,3,2,5,2,3,2,5,6,1,7,4,3,,,,,,,,,,,2023-11-08-13-58,2023-11-08-14-14,16
s.fae1b1cc-33eb-4ed0-a03e-ef5f6a42a91a.txt,2,2,1,3,2,,,,,,,,,,,6,6,5,5,4,6,4,5,4,4,2023-11-08-13-57,2023-11-08-14-09,12
s.c90364ca-a969-4282-a897-a40f120c18e2.txt,1,2,2,3,1,2,4,6,7,5,5,6,4,4,6,,,,,,,,,,,2023-11-10-10-47,2023-11-10-10-50,3
